,city,population,violent_crime,murder_and_nonnegligent_manslaughter,rape1,robbery,aggravated_assault,property_crime,burglary,larceny_theft,motor_vehicle_theft,arson,county,shape__area,shape__length,globalid
13,Arcadia,58899,84,1,10,35,38,1348,301,973,74,3,Los Angeles,42082448.140625,48662.39865065,ef3b66aa-bcd6-433f-b223-138330934559
14,Arcata,18332,72,1,12,16,43,605,122,425,58,21,Humboldt,51385121.5664063,75159.8543906089,d4015cfd-be17-4795-993f-9b16b5473331
15,Arroyo Grande,18188,27,0,2,7,18,275,35,219,21,3,San Luis Obispo,23011217.6171875,31484.2368777697,f24cf9f8-c008-4879-bab2-12ba38562928
16,Artesia,16779,72,1,2,28,41,284,90,161,33,0,Los Angeles,6128534.55859375,15055.4587668051,a4a86472-9eaa-487d-8231-1021d9979654
17,Arvin,21811,196,3,3,16,174,437,115,178,144,16,Kern,18685857.6328125,26421.7606989487,8efc70e8-1780-476f-af6e-6e2e31b1f895
18,Atascadero,30579,65,0,7,7,51,493,96,360,37,3,San Luis Obispo,102461859.882813,57267.537566731,c655e318-452c-47f4-8afb-42f479315749
19,Atherton,7222,12,0,2,4,6,110,32,74,4,0,San Mateo,20737664.7421875,30997.3733329307,aa08edb8-1fd2-499e-8cfc-6a44dbed9998
20,Atwater,29632,206,1,10,22,173,1031,140,708,183,0,Merced,27568273.9726563,45442.5725787282,df3340e1-4411-4118-89a9-17a3291b67fd
21,Auburn,14201,50,0,8,5,37,237,72,146,19,5,Placer,30627246.328125,59836.922974527,672df8e3-4684-4403-832f-92ca411d9d75
22,Avalon,3722,10,0,2,0,8,40,7,28,5,0,Los Angeles,10948557.5898438,20901.4057551505,560550f8-6871-41d4-a0cd-4754b5cec5ad
